"# random draw of 12 of 223 waterfalls, seed=20260901"
event,T,F_recorded,F_live,K_signal,contrast,coherence_z,n_kept,n_dropped
FRB20180911C,57,16384,9248,0,0.99,-0.4,0,0
FRB20181220A,38,16384,11328,1,1.10,4.6,1,0
FRB20190320B,38,16384,11504,1,1.01,1.2,1,0
FRB20190519C,38,16384,9424,0,0.99,-0.5,0,0
FRB20181209A,38,16384,9664,1,1.19,4.9,1,0
FRB20190222A,38,16384,10976,1,1.35,6.6,1,0
FRB20190605C,19,16384,8224,1,1.08,0.8,1,0
FRB20190608A,19,16384,9696,0,0.98,0.7,0,0
FRB20190224C,95,16384,11392,3,1.10,6.3,2,1
FRB20190517B,76,16384,10576,3,1.16,12.6,2,1
FRB20190612B,19,16384,9248,1,1.24,-2.1,1,0
FRB20190628A,19,16384,9680,0,0.98,-1.4,0,0
